0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:41:20 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4876
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:43:48 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:43:48 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:45:51 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4720
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:45:51 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:46:21 +0530] "POST /web/Adduser HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:46:25 +0530] "GET /web/user_interface.jsp HTTP/1.1" 200 11512
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:46:27 +0530] "GET /web/login.jsp HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:46:29 +0530] "GET /web/user_interface.jsp HTTP/1.1" 200 11512
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:46:30 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4720
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:47:05 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4729
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:47:24 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:47:24 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:47:58 +0530] "POST /web/Adduser HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:48:29 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4697
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:49:31 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4939
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:49:31 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:49:52 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4914
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:50:53 +0530] "POST /web/Adduser HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:51:39 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4950
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:51:39 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:54:03 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4950
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:54:03 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:54:39 +0530] "POST /web/Adduser HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:54:50 +0530] "POST /web/LoginS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:54:50 +0530] "GET /web/homepage.jsp?username=Ramesh HTTP/1.1" 200 4178
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:54:50 +0530] "GET /web/images/hom20.jpg HTTP/1.1" 304 -
