127.0.0.1 - - [25/Apr/2024:12:03:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:28 +0530] "GET /web/ HTTP/1.1" 200 12432
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:28 +0530] "GET /web/images/wash1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:28 +0530] "GET /web/images/wash1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:28 +0530] "GET /web/images/only_wash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:28 +0530] "GET /web/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:28 +0530] "GET /web/images/dray.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:28 +0530] "GET /web/images/homwach.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:28 +0530] "GET /web/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:28 +0530] "GET /web/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:28 +0530] "GET /web/images/2.jpg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:30 +0530] "GET /web/login.jsp HTTP/1.1" 200 3949
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:30 +0530] "GET /web/images/log2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:36 +0530] "POST /web/LoginS HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:37 +0530] "GET /web/login.jsp HTTP/1.1" 200 3949
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:38 +0530] "GET /web/registration.jsp HTTP/1.1" 200 4823
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:38 +0530] "GET /web/images/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:38 +0530] "GET /web/images/singwall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:50 +0530] "POST /web/Adduser HTTP/1.1" 200 3949
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:56 +0530] "POST /web/LoginS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:56 +0530] "GET /web/homepage.jsp?username=Ramesh HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [25/Apr/2024:12:03:56 +0530] "GET /web/images/hom20.jpg HTTP/1.1" 304 -
